Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SMCI","SUPER MICRO COMPUTER INC","Information Technology","Equity","231,047,529.84","0.45","231,047,529.84","1,041,036.00","221.94","United States","NASDAQ","USD","1.00","USD","-"
"SWAV","SHOCKWAVE MEDICAL INC","Health Care","Equity","228,370,670.00","0.44","228,370,670.00","789,800.00","289.15","United States","NASDAQ","USD","1.00","USD","-"
"INSP","INSPIRE MEDICAL SYSTEMS INC","Health Care","Equity","196,473,839.49","0.38","196,473,839.49","634,421.00","309.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APLS","APELLIS PHARMACEUTICALS INC","Health Care","Equity","182,989,785.00","0.35","182,989,785.00","2,080,375.00","87.96","United States","NASDAQ","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","181,504,505.52","0.35","181,504,505.52","1,048,008.00","173.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAIA","SAIA INC","Industrials","Equity","178,489,165.62","0.34","178,489,165.62","589,326.00","302.87","United States","NASDAQ","USD","1.00","USD","-"
"IRDM","IRIDIUM COMMUNICATIONS INC","Communication","Equity","173,675,444.25","0.33","173,675,444.25","2,773,925.00","62.61","United States","NASDAQ","USD","1.00","USD","-"
"CELH","CELSIUS HOLDINGS INC","Consumer Staples","Equity","170,286,234.80","0.33","170,286,234.80","1,232,440.00","138.17","United States","NASDAQ","USD","1.00","USD","-"
"KRTX","KARUNA THERAPEUTICS INC","Health Care","Equity","167,983,368.45","0.32","167,983,368.45","718,953.00","233.65","United States","NASDAQ","USD","1.00","USD","-"
"TXRH","TEXAS ROADHOUSE INC","Consumer Discretionary","Equity","165,955,835.30","0.32","165,955,835.30","1,487,726.00","111.55","United States","NASDAQ","USD","1.00","USD","-"
"KNSL","KINSALE CAPITAL GROUP INC","Financials","Equity","162,139,192.35","0.31","162,139,192.35","480,199.00","337.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RXDX","PROMETHEUS BIOSCIENCES INC","Health Care","Equity","153,461,169.43","0.30","153,461,169.43","771,821.00","198.83","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","151,437,348.56","0.29","151,437,348.56","2,371,396.00","63.86","United States","NASDAQ","USD","1.00","USD","-"
"CROX","CROCS INC","Consumer Discretionary","Equity","148,131,226.32","0.29","148,131,226.32","1,346,158.00","110.04","United States","NASDAQ","USD","1.00","USD","-"
"STAG","STAG INDUSTRIAL REIT INC","Real Estate","Equity","143,576,801.84","0.28","143,576,801.84","3,997,127.00","35.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHRD","CHORD ENERGY CORP","Energy","Equity","137,938,211.06","0.27","137,938,211.06","921,862.00","149.63","United States","NASDAQ","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS INC","Health Care","Equity","134,425,050.05","0.26","134,425,050.05","1,516,015.00","88.67","United States","NASDAQ","USD","1.00","USD","-"
"NOVT","NOVANTA INC","Information Technology","Equity","133,815,939.63","0.26","133,815,939.63","788,219.00","169.77","United States","NASDAQ","USD","1.00","USD","-"
"RBC","RBC BEARINGS INC","Industrials","Equity","131,816,790.51","0.25","131,816,790.51","632,913.00","208.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WING","WINGSTOP INC","Consumer Discretionary","Equity","131,555,021.84","0.25","131,555,021.84","665,192.00","197.77","United States","NASDAQ","USD","1.00","USD","-"
"LNW","LIGHT WONDER INC","Consumer Discretionary","Equity","131,363,302.36","0.25","131,363,302.36","2,095,777.00","62.68","United States","NASDAQ","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","131,067,732.32","0.25","131,067,732.32","1,324,184.00","98.98","United States","NASDAQ","USD","1.00","USD","-"
"SPSC","SPS COMMERCE INC","Information Technology","Equity","130,943,135.45","0.25","130,943,135.45","804,665.00","162.73","United States","NASDAQ","USD","1.00","USD","-"
"MUSA","MURPHY USA INC","Consumer Discretionary","Equity","129,241,817.25","0.25","129,241,817.25","446,817.00","289.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADC","AGREE REALTY REIT CORP","Real Estate","Equity","126,218,646.54","0.24","126,218,646.54","1,942,423.00","64.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITCI","INTRA CELLULAR THERAPIES INC","Health Care","Equity","124,649,946.96","0.24","124,649,946.96","2,032,778.00","61.32","United States","NASDAQ","USD","1.00","USD","-"
"CHX","CHAMPIONX CORP","Energy","Equity","124,402,786.56","0.24","124,402,786.56","4,444,544.00","27.99","United States","NASDAQ","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","123,872,429.17","0.24","123,872,429.17","3,270,991.00","37.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIX","COMFORT SYSTEMS USA INC","Industrials","Equity","121,814,579.46","0.23","121,814,579.46","786,611.00","154.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSD","SIMPSON MANUFACTURING INC","Industrials","Equity","120,226,576.20","0.23","120,226,576.20","949,657.00","126.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MEDP","MEDPACE HOLDINGS INC","Health Care","Equity","119,436,009.08","0.23","119,436,009.08","563,218.00","212.06","United States","NASDAQ","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","118,261,599.75","0.23","118,261,599.75","2,594,025.00","45.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTDR","MATADOR RESOURCES","Energy","Equity","118,243,166.43","0.23","118,243,166.43","2,498,271.00","47.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONTO","ONTO INNOVATION INC","Information Technology","Equity","117,962,050.14","0.23","117,962,050.14","1,100,187.00","107.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACLS","AXCELIS TECHNOLOGIES INC","Information Technology","Equity","117,737,302.32","0.23","117,737,302.32","725,162.00","162.36","United States","NASDAQ","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","117,286,580.34","0.23","117,286,580.34","1,194,486.00","98.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CIVI","CIVITAS RESOURCES INC","Energy","Equity","116,715,287.61","0.23","116,715,287.61","1,636,731.00","71.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISEE","IVERIC BIO INC","Health Care","Equity","115,254,782.84","0.22","115,254,782.84","3,030,628.00","38.03","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","114,866,701.46","0.22","114,866,701.46","947,198.00","121.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELF","ELF BEAUTY INC","Consumer Staples","Equity","114,855,277.96","0.22","114,855,277.96","1,091,884.00","105.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Industrials","Equity","112,745,104.80","0.22","112,745,104.80","849,624.00","132.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRBR","BELLRING BRANDS INC","Consumer Staples","Equity","112,515,587.10","0.22","112,515,587.10","2,968,749.00","37.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","112,442,946.47","0.22","112,442,946.47","112,442,946.00","100.00","United States","-","USD","1.00","USD","-"
"EXLS","EXLSERVICE HOLDINGS INC","Industrials","Equity","112,435,461.72","0.22","112,435,461.72","718,713.00","156.44","United States","NASDAQ","USD","1.00","USD","-"
"SSB","SOUTHSTATE CORP","Financials","Equity","112,268,930.14","0.22","112,268,930.14","1,665,217.00","67.42","United States","NASDAQ","USD","1.00","USD","-"
"MMS","MAXIMUS INC","Industrials","Equity","111,928,582.76","0.22","111,928,582.76","1,344,326.00","83.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POWI","POWER INTEGRATIONS INC","Information Technology","Equity","111,790,941.60","0.22","111,790,941.60","1,258,907.00","88.80","United States","NASDAQ","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT CORP","Real Estate","Equity","111,575,775.36","0.22","111,575,775.36","1,790,656.00","62.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","111,498,156.00","0.21","111,498,156.00","1,327,359.00","84.00","United States","NASDAQ","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","111,303,790.00","0.21","111,303,790.00","856,183.00","130.00","United States","NASDAQ","USD","1.00","USD","-"
"RLI","RLI CORP","Financials","Equity","110,803,887.35","0.21","110,803,887.35","866,671.00","127.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATKR","ATKORE INC","Industrials","Equity","110,754,893.86","0.21","110,754,893.86","874,703.00","126.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","109,543,940.04","0.21","109,543,940.04","1,195,764.00","91.61","United States","NASDAQ","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","109,205,453.94","0.21","109,205,453.94","1,842,819.00","59.26","United States","NASDAQ","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","108,025,225.78","0.21","108,025,225.78","2,339,221.00","46.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRTN","TRITON INTERNATIONAL LTD","Industrials","Equity","107,908,591.20","0.21","107,908,591.20","1,293,868.00","83.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APG","API GROUP CORP","Industrials","Equity","107,705,427.90","0.21","107,705,427.90","4,592,982.00","23.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","107,634,931.60","0.21","107,634,931.60","2,137,310.00","50.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC","Consumer Discretionary","Equity","107,469,113.28","0.21","107,469,113.28","491,872.00","218.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATI","ATI INC","Materials","Equity","106,864,145.78","0.21","106,864,145.78","2,755,651.00","38.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","106,791,407.71","0.21","106,791,407.71","3,618,821.00","29.51","United States","NASDAQ","USD","1.00","USD","-"
"EXPO","EXPONENT INC","Industrials","Equity","106,564,174.86","0.21","106,564,174.86","1,129,097.00","94.38","United States","NASDAQ","USD","1.00","USD","-"
"OPCH","OPTION CARE HEALTH INC","Health Care","Equity","105,975,164.40","0.20","105,975,164.40","3,710,615.00","28.56","United States","NASDAQ","USD","1.00","USD","-"
"MMSI","MERIT MEDICAL SYSTEMS INC","Health Care","Equity","104,677,337.80","0.20","104,677,337.80","1,240,988.00","84.35","United States","NASDAQ","USD","1.00","USD","-"
"WK","WORKIVA INC CLASS A","Information Technology","Equity","104,290,519.50","0.20","104,290,519.50","1,058,787.00","98.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DEN","DENBURY INC","Energy","Equity","104,082,615.78","0.20","104,082,615.78","1,112,826.00","93.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","103,998,344.16","0.20","103,998,344.16","1,108,488.00","93.82","United States","NASDAQ","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","103,272,018.50","0.20","103,272,018.50","2,323,330.00","44.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","102,482,694.60","0.20","102,482,694.60","702,610.00","145.86","United States","NASDAQ","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","102,220,186.00","0.20","102,220,186.00","607,730.00","168.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","102,215,320.76","0.20","102,215,320.76","2,169,716.00","47.11","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLI","HOULIHAN LOKEY INC CLASS A","Financials","Equity","102,051,682.04","0.20","102,051,682.04","1,128,391.00","90.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TENB","TENABLE HOLDINGS INC","Information Technology","Equity","101,159,375.52","0.20","101,159,375.52","2,483,048.00","40.74","United States","NASDAQ","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","99,834,803.60","0.19","99,834,803.60","1,161,410.00","85.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTH","MERITAGE CORP","Consumer Discretionary","Equity","99,331,065.90","0.19","99,331,065.90","806,586.00","123.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HALO","HALOZYME THERAPEUTICS INC","Health Care","Equity","99,275,016.78","0.19","99,275,016.78","2,957,254.00","33.57","United States","NASDAQ","USD","1.00","USD","-"
"FELE","FRANKLIN ELECTRIC INC","Industrials","Equity","98,763,311.00","0.19","98,763,311.00","1,023,454.00","96.50","United States","NASDAQ","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","98,652,569.60","0.19","98,652,569.60","1,986,560.00","49.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFRD","WEATHERFORD INTERNATIONAL PLC","Energy","Equity","98,412,426.36","0.19","98,412,426.36","1,570,077.00","62.68","United States","NASDAQ","USD","1.00","USD","-"
"HAE","HAEMONETICS CORP","Health Care","Equity","98,074,765.46","0.19","98,074,765.46","1,112,842.00","88.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MLI","MUELLER INDUSTRIES INC","Industrials","Equity","97,902,116.55","0.19","97,902,116.55","1,242,255.00","78.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PBF","PBF ENERGY INC CLASS A","Energy","Equity","97,683,243.21","0.19","97,683,243.21","2,628,013.00","37.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","97,153,315.74","0.19","97,153,315.74","1,193,823.00","81.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","97,064,541.75","0.19","97,064,541.75","4,174,819.00","23.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","97,024,636.70","0.19","97,024,636.70","4,839,134.00","20.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","96,632,646.12","0.19","96,632,646.12","779,547.00","123.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Industrials","Equity","95,762,303.28","0.18","95,762,303.28","1,762,929.00","54.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMN","AMN HEALTHCARE INC","Health Care","Equity","95,549,633.70","0.18","95,549,633.70","959,430.00","99.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSIT","INSIGHT ENTERPRISES INC","Information Technology","Equity","95,475,252.70","0.18","95,475,252.70","697,205.00","136.94","United States","NASDAQ","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","94,270,445.00","0.18","94,270,445.00","650,141.00","145.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","94,206,854.70","0.18","94,206,854.70","819,903.00","114.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSP","INSPERITY INC","Industrials","Equity","94,190,696.60","0.18","94,190,696.60","796,202.00","118.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","94,053,560.96","0.18","94,053,560.96","708,128.00","132.82","United States","NASDAQ","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","93,512,571.88","0.18","93,512,571.88","905,954.00","103.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","93,200,991.38","0.18","93,200,991.38","3,156,146.00","29.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","92,968,902.60","0.18","92,968,902.60","2,887,233.00","32.20","United States","NASDAQ","USD","1.00","USD","-"
"CBT","CABOT CORP","Materials","Equity","92,314,711.16","0.18","92,314,711.16","1,236,137.00","74.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","92,230,894.02","0.18","92,230,894.02","1,818,074.00","50.73","United States","NASDAQ","USD","1.00","USD","-"
"LTHM","LIVENT CORP","Materials","Equity","90,265,994.70","0.17","90,265,994.70","3,601,995.00","25.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","90,170,506.80","0.17","90,170,506.80","3,105,045.00","29.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","90,021,194.90","0.17","90,021,194.90","1,444,963.00","62.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIOD","DIODES INC","Information Technology","Equity","90,004,157.48","0.17","90,004,157.48","988,948.00","91.01","United States","NASDAQ","USD","1.00","USD","-"
"IRT","INDEPENDENCE REALTY INC TRUST","Real Estate","Equity","89,730,355.74","0.17","89,730,355.74","4,993,342.00","17.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEOG","NEOGEN CORP","Health Care","Equity","89,186,251.74","0.17","89,186,251.74","4,818,274.00","18.51","United States","NASDAQ","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","89,182,876.80","0.17","89,182,876.80","1,489,360.00","59.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AAON","AAON INC","Industrials","Equity","89,068,326.92","0.17","89,068,326.92","972,574.00","91.58","United States","NASDAQ","USD","1.00","USD","-"
"HGV","HILTON GRAND VACATIONS INC","Consumer Discretionary","Equity","88,940,196.80","0.17","88,940,196.80","1,907,360.00","46.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNM","PNM RESOURCES INC","Utilities","Equity","88,596,644.40","0.17","88,596,644.40","1,899,585.00","46.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SUM","SUMMIT MATERIALS INC CLASS A","Materials","Equity","88,572,732.02","0.17","88,572,732.02","2,636,878.00","33.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LANC","LANCASTER COLONY CORP","Consumer Staples","Equity","87,955,517.52","0.17","87,955,517.52","432,044.00","203.58","United States","NASDAQ","USD","1.00","USD","-"
"SHLS","SHOALS TECHNOLOGIES GROUP INC CLAS","Industrials","Equity","87,567,607.68","0.17","87,567,607.68","3,614,016.00","24.23","United States","NASDAQ","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","87,262,571.16","0.17","87,262,571.16","6,507,276.00","13.41","United States","NASDAQ","USD","1.00","USD","-"
"VC","VISTEON CORP","Consumer Discretionary","Equity","87,130,986.00","0.17","87,130,986.00","617,775.00","141.04","United States","NASDAQ","USD","1.00","USD","-"
"FOXF","FOX FACTORY HOLDING CORP","Consumer Discretionary","Equity","86,961,508.20","0.17","86,961,508.20","942,570.00","92.26","United States","NASDAQ","USD","1.00","USD","-"
"ASO","ACADEMY SPORTS AND OUTDOORS INC","Consumer Discretionary","Equity","86,739,426.51","0.17","86,739,426.51","1,688,523.00","51.37","United States","NASDAQ","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","86,141,908.71","0.17","86,141,908.71","3,296,667.00","26.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALTR","ALTAIR ENGINEERING INC CLASS A","Information Technology","Equity","86,106,132.63","0.17","86,106,132.63","1,154,083.00","74.61","United States","NASDAQ","USD","1.00","USD","-"
"BDC","BELDEN INC","Information Technology","Equity","85,029,570.15","0.16","85,029,570.15","943,201.00","90.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VAL","VALARIS LTD","Energy","Equity","84,278,686.45","0.16","84,278,686.45","1,354,745.00","62.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","83,873,321.55","0.16","83,873,321.55","837,477.00","100.15","United States","NASDAQ","USD","1.00","USD","-"
"GT","GOODYEAR TIRE & RUBBER","Consumer Discretionary","Equity","83,740,433.28","0.16","83,740,433.28","6,230,687.00","13.44","United States","NASDAQ","USD","1.00","USD","-"
"DUOL","DUOLINGO INC CLASS A","Consumer Discretionary","Equity","83,328,098.40","0.16","83,328,098.40","534,360.00","155.94","United States","NASDAQ","USD","1.00","USD","-"
"ETRN","EQUITRANS MIDSTREAM CORP","Energy","Equity","83,099,261.08","0.16","83,099,261.08","9,151,901.00","9.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","82,892,673.56","0.16","82,892,673.56","834,434.00","99.34","United States","NASDAQ","USD","1.00","USD","-"
"PCH","POTLATCHDELTIC CORP","Real Estate","Equity","82,813,957.20","0.16","82,813,957.20","1,769,529.00","46.80","United States","NASDAQ","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","82,415,058.60","0.16","82,415,058.60","2,286,132.00","36.05","United States","NASDAQ","USD","1.00","USD","-"
"CNMD","CONMED CORP","Health Care","Equity","81,993,443.85","0.16","81,993,443.85","646,585.00","126.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Financials","Equity","81,811,111.60","0.16","81,811,111.60","2,890,852.00","28.30","United States","NASDAQ","USD","1.00","USD","-"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Industrials","Equity","81,500,373.50","0.16","81,500,373.50","702,650.00","115.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","80,877,175.92","0.16","80,877,175.92","2,472,552.00","32.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGNA","TEGNA INC","Communication","Equity","80,529,064.61","0.16","80,529,064.61","4,949,543.00","16.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FUL","HB FULLER","Materials","Equity","80,085,192.00","0.15","80,085,192.00","1,193,520.00","67.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STNE","STONECO LTD CLASS A","Financials","Equity","79,878,705.54","0.15","79,878,705.54","6,149,246.00","12.99","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","79,861,954.00","0.15","79,861,954.00","972,740.00","82.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVNT","AVIENT CORP","Materials","Equity","79,648,172.88","0.15","79,648,172.88","2,019,477.00","39.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARRY","ARRAY TECHNOLOGIES INC","Industrials","Equity","79,569,578.88","0.15","79,569,578.88","3,348,888.00","23.76","United States","NASDAQ","USD","1.00","USD","-"
"HI","HILLENBRAND INC","Industrials","Equity","79,261,899.00","0.15","79,261,899.00","1,539,066.00","51.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energy","Equity","78,783,386.48","0.15","78,783,386.48","3,869,518.00","20.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TNET","TRINET GROUP INCINARY","Industrials","Equity","78,638,089.05","0.15","78,638,089.05","831,885.00","94.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","78,549,455.82","0.15","78,549,455.82","2,602,699.00","30.18","United States","NASDAQ","USD","1.00","USD","-"
"TGTX","TG THERAPEUTICS INC","Health Care","Equity","78,431,467.52","0.15","78,431,467.52","2,952,992.00","26.56","United States","NASDAQ","USD","1.00","USD","-"
"SFM","SPROUTS FARMERS MARKET INC","Consumer Staples","Equity","77,876,136.00","0.15","77,876,136.00","2,355,600.00","33.06","United States","NASDAQ","USD","1.00","USD","-"
"TWNK","HOSTESS BRANDS INC CLASS A","Consumer Staples","Equity","77,811,177.60","0.15","77,811,177.60","2,965,365.00","26.24","United States","NASDAQ","USD","1.00","USD","-"
"ALE","ALLETE INC","Utilities","Equity","77,742,811.06","0.15","77,742,811.06","1,271,762.00","61.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","77,532,344.60","0.15","77,532,344.60","1,912,490.00","40.54","United States","NASDAQ","USD","1.00","USD","-"
"BPMC","BLUEPRINT MEDICINES CORP","Health Care","Equity","77,268,827.14","0.15","77,268,827.14","1,327,187.00","58.22","United States","NASDAQ","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","77,136,399.04","0.15","77,136,399.04","1,327,192.00","58.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KBH","KB HOME","Consumer Discretionary","Equity","76,974,774.16","0.15","76,974,774.16","1,685,087.00","45.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEX","TEREX CORP","Industrials","Equity","76,923,196.87","0.15","76,923,196.87","1,481,857.00","51.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BECN","BEACON ROOFING SUPPLY INC","Industrials","Equity","76,716,623.61","0.15","76,716,623.61","1,141,107.00","67.23","United States","NASDAQ","USD","1.00","USD","-"
"VSH","VISHAY INTERTECHNOLOGY INC","Information Technology","Equity","76,626,157.76","0.15","76,626,157.76","2,885,021.00","26.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IMGN","IMMUNOGEN INC","Health Care","Equity","76,620,020.91","0.15","76,620,020.91","5,331,943.00","14.37","United States","NASDAQ","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","76,578,912.00","0.15","76,578,912.00","9,572,364.00","8.00","United States","NASDAQ","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","76,481,386.36","0.15","76,481,386.36","3,119,143.00","24.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HP","HELMERICH & PAYNE INC","Energy","Equity","76,461,006.87","0.15","76,461,006.87","2,281,737.00","33.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLKB","BLACKBAUD INC","Information Technology","Equity","76,395,508.56","0.15","76,395,508.56","1,031,814.00","74.04","United States","NASDAQ","USD","1.00","USD","-"
"NE","NOBLE CORPORATION PLC","Energy","Equity","76,366,665.60","0.15","76,366,665.60","1,871,732.00","40.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DNLI","DENALI THERAPEUTICS INC","Health Care","Equity","76,204,422.56","0.15","76,204,422.56","2,417,653.00","31.52","United States","NASDAQ","USD","1.00","USD","-"
"ALIT","ALIGHT INC CLASS A","Industrials","Equity","75,868,409.64","0.15","75,868,409.64","8,553,372.00","8.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
