Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Financials","Equity","9,007,732.00","0.02","9,007,732.00","581,144.00","15.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BFS","SAUL CENTERS REIT INC","Real Estate","Equity","8,995,129.00","0.02","8,995,129.00","251,612.00","35.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCB","COASTAL FINANCIAL CORP","Financials","Equity","8,984,915.10","0.02","8,984,915.10","238,770.00","37.63","United States","NASDAQ","USD","1.00","USD","-"
"NTGR","NETGEAR INC","Information Technology","Equity","8,961,143.28","0.02","8,961,143.28","629,736.00","14.23","United States","NASDAQ","USD","1.00","USD","-"
"LXFR","LUXFER HOLDINGS PLC","Industrials","Equity","8,928,110.16","0.02","8,928,110.16","585,834.00","15.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HONE","HARBORONE BANCORP INC","Financials","Equity","8,915,274.43","0.02","8,915,274.43","998,351.00","8.93","United States","NASDAQ","USD","1.00","USD","-"
"THFF","FIRST FINANCIAL CORPORATION INDIAN","Financials","Equity","8,915,980.04","0.02","8,915,980.04","255,692.00","34.87","United States","NASDAQ","USD","1.00","USD","-"
"NPK","NATIONAL PRESTO INDUSTRIES INC","Industrials","Equity","8,869,280.70","0.02","8,869,280.70","113,505.00","78.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPF","CENTRAL PACIFIC FINANCIAL CORP","Financials","Equity","8,851,364.64","0.02","8,851,364.64","550,458.00","16.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FNKO","FUNKO INC CLASS A","Consumer Discretionary","Equity","8,851,925.00","0.02","8,851,925.00","708,154.00","12.50","United States","NASDAQ","USD","1.00","USD","-"
"DHC","DIVERSIFIED HEALTHCARE TRUST","Real Estate","Equity","8,828,129.05","0.02","8,828,129.05","5,223,745.00","1.69","United States","NASDAQ","USD","1.00","USD","-"
"MBIN","MERCHANTS BANCORP","Financials","Equity","8,779,199.13","0.02","8,779,199.13","356,733.00","24.61","United States","NASDAQ","USD","1.00","USD","-"
"CERS","CERUS CORP","Health Care","Equity","8,769,184.20","0.02","8,769,184.20","3,880,170.00","2.26","United States","NASDAQ","USD","1.00","USD","-"
"HDSN","HUDSON TECHNOLOGIES INC","Industrials","Equity","8,764,521.51","0.02","8,764,521.51","951,631.00","9.21","United States","NASDAQ","USD","1.00","USD","-"
"RBCAA","REPUBLIC BANCORP INC CLASS A","Financials","Equity","8,760,941.60","0.02","8,760,941.60","196,610.00","44.56","United States","NASDAQ","USD","1.00","USD","-"
"HVT","HAVERTY FURNITURE COMPANIES INC","Consumer Discretionary","Equity","8,752,396.80","0.02","8,752,396.80","325,610.00","26.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRGY","CRESCENT ENERGY CLASS A","Energy","Equity","8,734,832.56","0.02","8,734,832.56","881,416.00","9.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANIK","ANIKA THERAPEUTICS INC","Health Care","Equity","8,723,863.89","0.02","8,723,863.89","319,907.00","27.27","United States","NASDAQ","USD","1.00","USD","-"
"IVR","INVESCO MORTGAGE CAPITAL REIT INC","Financials","Equity","8,697,508.02","0.02","8,697,508.02","803,094.00","10.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTOS","CUSTOM TRUCK ONE SOURCE INC","Industrials","Equity","8,680,576.84","0.02","8,680,576.84","1,284,109.00","6.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVT","CVENT HOLDING CORP","Information Technology","Equity","8,662,091.04","0.02","8,662,091.04","1,021,473.00","8.48","United States","NASDAQ","USD","1.00","USD","-"
"CTLP","CANTALOUPE INC","Financials","Equity","8,644,416.60","0.02","8,644,416.60","1,292,140.00","6.69","United States","NASDAQ","USD","1.00","USD","-"
"WW","WW INTERNATIONAL INC","Consumer Discretionary","Equity","8,630,430.22","0.02","8,630,430.22","1,200,338.00","7.19","United States","NASDAQ","USD","1.00","USD","-"
"FRPH","FRP HOLDINGS INC","Real Estate","Equity","8,623,640.16","0.02","8,623,640.16","147,564.00","58.44","United States","NASDAQ","USD","1.00","USD","-"
"RUSHB","RUSH ENTERPRISES INC CLASS B","Industrials","Equity","8,620,536.48","0.02","8,620,536.48","141,413.00","60.96","United States","NASDAQ","USD","1.00","USD","-"
"LQDT","LIQUIDITY SERVICES INC","Industrials","Equity","8,610,487.08","0.02","8,610,487.08","538,492.00","15.99","United States","NASDAQ","USD","1.00","USD","-"
"GEFB","GREIF INC CLASS B","Materials","Equity","8,575,937.92","0.02","8,575,937.92","120,128.00","71.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REPX","RILEY EXPLORATION PERMIAN INC","Energy","Equity","8,576,997.00","0.02","8,576,997.00","239,916.00","35.75","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"ORC","ORCHID ISLAND CAPITAL INC","Financials","Equity","8,562,132.48","0.02","8,562,132.48","829,664.00","10.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BHB","BAR HARBOR BANKSHARES","Financials","Equity","8,524,960.85","0.02","8,524,960.85","337,355.00","25.27","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"BFST","BUSINESS FIRST BANCSHARES INC","Financials","Equity","8,525,757.72","0.02","8,525,757.72","543,388.00","15.69","United States","NASDAQ","USD","1.00","USD","-"
"WTI","W AND T OFFSHORE INC","Energy","Equity","8,509,236.19","0.02","8,509,236.19","2,111,473.00","4.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANAB","ANAPTYSBIO INC","Health Care","Equity","8,502,773.76","0.02","8,502,773.76","454,208.00","18.72","United States","NASDAQ","USD","1.00","USD","-"
"PLPC","PREFORMED LINE PRODUCTS","Industrials","Equity","8,485,454.40","0.02","8,485,454.40","55,752.00","152.20","United States","NASDAQ","USD","1.00","USD","-"
"MXCT","MAXCYTE INC","Health Care","Equity","8,485,631.04","0.02","8,485,631.04","1,941,792.00","4.37","United States","NASDAQ","USD","1.00","USD","-"
"DAWN","DAY ONE BIOPHARMACEUTICALS INC","Health Care","Equity","8,435,712.80","0.02","8,435,712.80","620,273.00","13.60","United States","NASDAQ","USD","1.00","USD","-"
"ASLE","AERSALE CORP","Industrials","Equity","8,388,404.86","0.02","8,388,404.86","554,422.00","15.13","United States","NASDAQ","USD","1.00","USD","-"
"CATC","CAMBRIDGE BANCORP","Financials","Equity","8,383,883.95","0.02","8,383,883.95","155,401.00","53.95","United States","NASDAQ","USD","1.00","USD","-"
